Id,ItemType,StartDate,Duration,MinimumPrice,AvgPrice,MinBid
1,phone,0,10,10,700,20
2,phone,0,10,10,700,20
3,phone,0,10,10,700,20
4,phone,0,10,10,700,20
5,phone,0,10,10,700,20
6,phone,0,10,10,700,20
7,phone,0,10,10,700,20
8,phone,0,10,10,700,20
9,phone,0,10,10,700,20
10,phone,0,10,10,700,20
11,phone,0,10,10,700,20
12,phone,0,10,10,700,20
13,phone,0,10,10,700,20
14,phone,0,10,10,700,20
15,phone,0,10,10,700,20
16,phone,0,10,10,700,20
17,phone,0,10,10,700,20
18,phone,0,10,10,700,20
19,phone,0,10,10,700,20
20,phone,0,10,10,700,20
